Abandonment Rate,Flooding Rate,"Cumulative MtCO2e, 2020-2050"
2.5,40,127.2407143
2.5,41,125.1880069
2.5,42,123.1352994
2.5,43,121.082592
2.5,44,119.0298846
2.5,45,116.9771771
2.5,46,114.9244697
2.5,47,112.8717623
2.5,48,110.8190548
2.5,49,108.7663474
2.5,50,106.71364
2.5,51,104.6609325
2.5,52,102.6082251
2.5,53,100.5555177
2.5,54,98.50281022
2.5,55,96.45010278
2.5,56,94.39739535
2.5,57,92.34468791
2.5,58,90.29198048
2.5,59,88.23927304
2.5,60,86.18656561
2.6,40,132.3303429
2.6,41,130.1955271
2.6,42,128.0607114
2.6,43,125.9258957
2.6,44,123.7910799
2.6,45,121.6562642
2.6,46,119.5214485
2.6,47,117.3866328
2.6,48,115.251817
2.6,49,113.1170013
2.6,50,110.9821856
2.6,51,108.8473698
2.6,52,106.7125541
2.6,53,104.5777384
2.6,54,102.4429226
2.6,55,100.3081069
2.6,56,98.17329116
2.6,57,96.03847543
2.6,58,93.9036597
2.6,59,91.76884397
2.6,60,89.63402823
2.7,40,137.4199714
2.7,41,135.2030474
2.7,42,132.9861234
2.7,43,130.7691994
2.7,44,128.5522753
2.7,45,126.3353513
2.7,46,124.1184273
2.7,47,121.9015032
2.7,48,119.6845792
2.7,49,117.4676552
2.7,50,115.2507312
2.7,51,113.0338071
2.7,52,110.8168831
2.7,53,108.5999591
2.7,54,106.383035
2.7,55,104.166111
2.7,56,101.949187
2.7,57,99.73226295
2.7,58,97.51533892
2.7,59,95.29841489
2.7,60,93.08149086
2.8,40,142.5096
2.8,41,140.2105677
2.8,42,137.9115354
2.8,43,135.612503
2.8,44,133.3134707
2.8,45,131.0144384
2.8,46,128.7154061
2.8,47,126.4163737
2.8,48,124.1173414
2.8,49,121.8183091
2.8,50,119.5192768
2.8,51,117.2202444
2.8,52,114.9212121
2.8,53,112.6221798
2.8,54,110.3231474
2.8,55,108.0241151
2.8,56,105.7250828
2.8,57,103.4260505
2.8,58,101.1270181
2.8,59,98.82798581
2.8,60,96.52895348
2.9,40,147.5992286
2.9,41,145.218088
2.9,42,142.8369473
2.9,43,140.4558067
2.9,44,138.0746661
2.9,45,135.6935255
2.9,46,133.3123848
2.9,47,130.9312442
2.9,48,128.5501036
2.9,49,126.168963
2.9,50,123.7878224
2.9,51,121.4066817
2.9,52,119.0255411
2.9,53,116.6444005
2.9,54,114.2632599
2.9,55,111.8821192
2.9,56,109.5009786
2.9,57,107.119838
2.9,58,104.7386974
2.9,59,102.3575567
2.9,60,99.97641611
3,40,152.6888572
3,41,150.2256082
3,42,147.7623593
3,43,145.2991104
3,44,142.8358615
3,45,140.3726126
3,46,137.9093636
3,47,135.4461147
3,48,132.9828658
3,49,130.5196169
3,50,128.0563679
3,51,125.593119
3,52,123.1298701
3,53,120.6666212
3,54,118.2033723
3,55,115.7401233
3,56,113.2768744
3,57,110.8136255
3,58,108.3503766
3,59,105.8871277
3,60,103.4238787
3.1,40,157.7784857
3.1,41,155.2331285
3.1,42,152.6877713
3.1,43,150.1424141
3.1,44,147.5970569
3.1,45,145.0516996
3.1,46,142.5063424
3.1,47,139.9609852
3.1,48,137.415628
3.1,49,134.8702708
3.1,50,132.3249135
3.1,51,129.7795563
3.1,52,127.2341991
3.1,53,124.6888419
3.1,54,122.1434847
3.1,55,119.5981275
3.1,56,117.0527702
3.1,57,114.507413
3.1,58,111.9620558
3.1,59,109.4166986
3.1,60,106.8713414
3.2,40,162.8681143
3.2,41,160.2406488
3.2,42,157.6131833
3.2,43,154.9857178
3.2,44,152.3582522
3.2,45,149.7307867
3.2,46,147.1033212
3.2,47,144.4758557
3.2,48,141.8483902
3.2,49,139.2209247
3.2,50,136.5934591
3.2,51,133.9659936
3.2,52,131.3385281
3.2,53,128.7110626
3.2,54,126.0835971
3.2,55,123.4561316
3.2,56,120.828666
3.2,57,118.2012005
3.2,58,115.573735
3.2,59,112.9462695
3.2,60,110.318804
3.3,40,167.9577429
3.3,41,165.2481691
3.3,42,162.5385953
3.3,43,159.8290214
3.3,44,157.1194476
3.3,45,154.4098738
3.3,46,151.7003
3.3,47,148.9907262
3.3,48,146.2811524
3.3,49,143.5715786
3.3,50,140.8620047
3.3,51,138.1524309
3.3,52,135.4428571
3.3,53,132.7332833
3.3,54,130.0237095
3.3,55,127.3141357
3.3,56,124.6045619
3.3,57,121.894988
3.3,58,119.1854142
3.3,59,116.4758404
3.3,60,113.7662666
3.4,40,173.0473715
3.4,41,170.2556893
3.4,42,167.4640072
3.4,43,164.6723251
3.4,44,161.880643
3.4,45,159.0889609
3.4,46,156.2972788
3.4,47,153.5055967
3.4,48,150.7139146
3.4,49,147.9222325
3.4,50,145.1305503
3.4,51,142.3388682
3.4,52,139.5471861
3.4,53,136.755504
3.4,54,133.9638219
3.4,55,131.1721398
3.4,56,128.3804577
3.4,57,125.5887756
3.4,58,122.7970935
3.4,59,120.0054113
3.4,60,117.2137292
3.5,40,178.137
3.5,41,175.2632096
3.5,42,172.3894192
3.5,43,169.5156288
3.5,44,166.6418384
3.5,45,163.768048
3.5,46,160.8942576
3.5,47,158.0204672
3.5,48,155.1466768
3.5,49,152.2728863
3.5,50,149.3990959
3.5,51,146.5253055
3.5,52,143.6515151
3.5,53,140.7777247
3.5,54,137.9039343
3.5,55,135.0301439
3.5,56,132.1563535
3.5,57,129.2825631
3.5,58,126.4087727
3.5,59,123.5349823
3.5,60,120.6611919
3.6,40,183.2266286
3.6,41,180.2707299
3.6,42,177.3148312
3.6,43,174.3589325
3.6,44,171.4030338
3.6,45,168.4471351
3.6,46,165.4912364
3.6,47,162.5353377
3.6,48,159.579439
3.6,49,156.6235402
3.6,50,153.6676415
3.6,51,150.7117428
3.6,52,147.7558441
3.6,53,144.7999454
3.6,54,141.8440467
3.6,55,138.888148
3.6,56,135.9322493
3.6,57,132.9763506
3.6,58,130.0204519
3.6,59,127.0645532
3.6,60,124.1086545
3.7,40,188.3162572
3.7,41,185.2782502
3.7,42,182.2402432
3.7,43,179.2022362
3.7,44,176.1642292
3.7,45,173.1262222
3.7,46,170.0882152
3.7,47,167.0502081
3.7,48,164.0122011
3.7,49,160.9741941
3.7,50,157.9361871
3.7,51,154.8981801
3.7,52,151.8601731
3.7,53,148.8221661
3.7,54,145.7841591
3.7,55,142.7461521
3.7,56,139.7081451
3.7,57,136.6701381
3.7,58,133.6321311
3.7,59,130.5941241
3.7,60,127.5561171
3.8,40,193.4058857
3.8,41,190.2857704
3.8,42,187.1656551
3.8,43,184.0455398
3.8,44,180.9254245
3.8,45,177.8053092
3.8,46,174.6851939
3.8,47,171.5650786
3.8,48,168.4449633
3.8,49,165.324848
3.8,50,162.2047327
3.8,51,159.0846174
3.8,52,155.9645021
3.8,53,152.8443868
3.8,54,149.7242715
3.8,55,146.6041562
3.8,56,143.4840409
3.8,57,140.3639256
3.8,58,137.2438103
3.8,59,134.123695
3.8,60,131.0035797
3.9,40,198.4955143
3.9,41,195.2932907
3.9,42,192.0910671
3.9,43,188.8888435
3.9,44,185.6866199
3.9,45,182.4843963
3.9,46,179.2821727
3.9,47,176.0799491
3.9,48,172.8777255
3.9,49,169.6755019
3.9,50,166.4732783
3.9,51,163.2710547
3.9,52,160.0688311
3.9,53,156.8666075
3.9,54,153.6643839
3.9,55,150.4621603
3.9,56,147.2599367
3.9,57,144.0577131
3.9,58,140.8554895
3.9,59,137.653266
3.9,60,134.4510424
4,40,203.5851429
4,41,200.300811
4,42,197.0164791
4,43,193.7321472
4,44,190.4478153
4,45,187.1634834
4,46,183.8791515
4,47,180.5948196
4,48,177.3104877
4,49,174.0261558
4,50,170.7418239
4,51,167.457492
4,52,164.1731601
4,53,160.8888282
4,54,157.6044963
4,55,154.3201645
4,56,151.0358326
4,57,147.7515007
4,58,144.4671688
4,59,141.1828369
4,60,137.898505
4.1,40,208.6747715
4.1,41,205.3083313
4.1,42,201.9418911
4.1,43,198.5754509
