Year,mmcf/year (low),mmcf/year (mid),mmcf/year (high),MtCO2e/year (low),MtCO2e/year (mid),MtCO2e/year (high),Cumulative MtCO2e (low),Cumulative MtCO2e (mid),Cumulative MtCO2e (high)
2020,3941.157266,4926.446583,5911.7359,1.593662859,1.992078574,2.390494288,1.593662859,1.992078574,2.390494288
2021,5149.692215,6808.173175,8615.077298,2.082351113,2.75298142,3.483628739,3.676013972,4.745059994,5.874123027
2022,5639.196455,7863.017871,10412.44821,2.280289097,3.179522839,4.210421168,5.956303069,7.924582832,10.08454419
2023,5897.285873,8576.539864,11737.76687,2.384651215,3.468045581,4.746332571,8.340954284,11.39262841,14.83087677
2024,6218.374386,9312.56137,13022.58571,2.514487911,3.765666319,5.2658673,10.85544219,15.15829473,20.09674407
2025,6568.346861,10018.79238,14192.58142,2.656004247,4.051240849,5.738971666,13.51144644,19.20953558,25.83571573
2026,7054.521388,10877.75345,15524.8262,2.852595815,4.398573945,6.277683746,16.36404226,23.60810953,32.11339948
2027,7569.316141,11742.7488,16828.62291,3.060760377,4.748347087,6.804892443,19.42480263,28.35645661,38.91829192
2028,8086.076638,12586.22879,18077.83415,3.269719816,5.089420189,7.310028731,22.69452245,33.4458768,46.22832065
2029,8595.246898,13402.78346,19273.80997,3.475610035,5.419605656,7.793638523,26.17013248,38.86548246,54.02195917
2030,9099.034037,14201.95721,20436.14624,3.679323513,5.742762898,8.263645685,29.849456,44.60824536,62.28560486
2031,9586.932943,14971.09318,21550.22421,3.876612358,6.05377394,8.71413892,33.72606836,50.6620193,70.99974378
2032,10062.03311,15717.24232,22628.33192,4.068725849,6.355489934,9.150087069,37.7947942,57.01750923,80.14983085
2033,10533.99498,16456.79569,23695.31719,4.259570329,6.654538832,9.581537703,42.05436453,63.67204806,89.73136855
2034,10982.23697,17158.34119,24706.6634,4.440823338,6.938218708,9.990489892,46.49518787,70.61026677,99.72185844
2035,11407.44976,17823.37721,25664.93067,4.612764162,7.207135458,10.37797886,51.10795203,77.81740223,110.0998373
2036,11816.68444,18463.1564,26586.54871,4.77824401,7.465839252,10.75064819,55.88619604,85.28324148,120.8504855
2037,12216.91274,19088.70332,27487.51886,4.940082005,7.718788024,11.11496825,60.82627805,93.0020295,131.9654537
2038,12597.09417,19682.8398,28343.17428,5.093813757,7.95903554,11.46096466,65.92009181,100.961065,143.4264184
2039,12965.86092,20259.09342,29173.03284,5.242929826,8.192051868,11.79652974,71.16302163,109.1531169,155.2229481
2040,13326.19101,20822.13908,29983.84727,5.388634411,8.419727366,12.12439406,76.55165604,117.5728443,167.3473422
2041,13676.86486,21370.08299,30772.90189,5.530434357,8.641296262,12.44345949,82.0820904,126.2141405,179.7908017
2042,14022.37049,21909.94412,31550.31014,5.670144462,8.859596768,12.75781555,87.75223486,135.0737373,192.5486172
2043,14362.39979,22441.24447,32315.38705,5.807640133,9.074435605,13.06718525,93.559875,144.1481729,205.6158025
2044,14697.32976,22964.57499,33068.98534,5.943073819,9.286051726,13.37191341,99.50294881,153.4342246,218.9877159
2045,15023.61546,23474.39769,33803.13127,6.075012071,9.492205768,13.66877574,105.5779609,162.9264304,232.6564917
2046,15353.90161,23990.47049,34546.27676,6.208567962,9.700887127,13.96927716,111.7865288,172.6273175,246.6257688
2047,15675.88666,24493.5725,35270.74401,6.338767186,9.904323563,14.26222577,118.125296,182.5316411,260.8879946
2048,15991.75767,24987.12114,35981.45424,6.466494109,10.10389696,14.54961154,124.5917901,192.6355381,275.4376061
2049,16299.98267,25468.7228,36674.96073,6.591129261,10.29863942,14.83004073,131.1829194,202.9341775,290.2676468
2050,16607.76539,25949.63337,37367.47199,6.715585573,10.49310243,15.11006748,137.898505,213.4272799,305.3777143
